岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
游戏测试（RPG项目+加班费+双休）,亿达信息,1000-9999人,计算机软件,本科,1-3年,[],"['加班补助', '五险一金', '定期体检', '节日福利', '补充医疗保险', '带薪年假']",7500.0,5-10K,浙江,杭州,上城区,西湖,120.1688,30.252453,https://www.zhipin.com/job_detail/ee3369b68d26d9970nJ43tq7GFNS.html,ee3369b68d26d9970nJ43tq7GFNS
游戏测试,方泽智扶(杭州)...,20-99人,互联网,学历不限,在校/应届,[],"['底薪加提成', '股票期权', '法定节假日三薪', '定期体检', '零食下午茶', '节假日加班费', '带薪年假', '年终奖', '团建聚餐', '五险一金', '保底工资', '企业年金', '补充医疗保险', '夜班补助', '员工旅游', '绩效奖金', '加班补助', '有无线网']",7500.0,5-10K,浙江,杭州,萧山区,西兴,120.24143208605197,30.237075815131078,https://www.zhipin.com/job_detail/653a3d53f55d57e50nFy3di5FVJV.html,653a3d53f55d57e50nFy3di5FVJV
游戏测试工程师【外包网易互娱】,微创软件,10000人以上,计算机软件,本科,1-3年,"['手游测试经验', '丰富的游戏经验', '主机游戏测试经验', '五险一金/餐补/13薪']","['五险一金', '补充医疗保险', '定期体检', '年终奖', '带薪年假', '员工旅游', '免费班车', '节日福利', '零食下午茶']",11500.0,9-14K·13薪,浙江,杭州,滨江区,长河,120.191193,30.185029,https://www.zhipin.com/job_detail/9fffef1124cf654e0nJ52Ni8ElVW.html,9fffef1124cf654e0nJ52Ni8ElVW
游戏测试（大厂项目）,杭州七凌,500-999人,计算机服务,大专,3-5年,"['引擎测试', 'unity/ue', '丰富的游戏经验', '手游测试经验', '开放大世界', 'ARPG/DNF', '计算机相关专业', '格斗游戏']",['五险一金'],10500.0,8-13K,浙江,杭州,滨江区,长河,120.22213201749548,30.201337478084458,https://www.zhipin.com/job_detail/014866362e85672d0nd-2t-1FVVQ.html,014866362e85672d0nd-2t-1FVVQ
游戏测试工程师,浩天游戏,20-99人,互联网,大专,1-3年,[],"['五险一金', '节日福利', '员工旅游', '加班补助', '交通补助', '全勤奖', '餐补', '定期体检', '零食下午茶', '带薪年假', '年终奖']",8500.0,7-10K·13薪,浙江,杭州,,,120.1247692314333,30.27727797553138,https://www.zhipin.com/job_detail/f182d747234f29b60nZ62t68ElVY.html,f182d747234f29b60nZ62t68ElVY
游戏测试工程师,不鸣科技,100-499人,游戏,本科,3-5年,[],"['生日福利', '法定节假日三薪', '年终奖', '零食下午茶', '团建聚餐', '员工旅游', '五险一金', '带薪年假', '节假日加班费', '定期体检', '餐补', '节日福利']",12500.0,10-15K,浙江,杭州,西湖区,西溪,120.075561,30.291015,https://www.zhipin.com/job_detail/8a3ad949d01e8e740nJ43dy4E1dX.html,8a3ad949d01e8e740nJ43dy4E1dX
游戏测试实习生（双休/尽快到岗优先）,反舌鸟,20-99人,游戏,本科,,['丰富的游戏经验'],"['通讯补贴', '生日福利', '有无线网', '团建聚餐', '工龄奖', '高温补贴', '节日福利', '零食下午茶', '股票期权', '定期体检', '补充医疗保险', '底薪加提成', '年终奖', '绩效奖金', '带薪年假', '交通补助', '保底工资', '五险一金']",,180-220元/天,浙江,杭州,余杭区,仓前,120.01197332942624,30.285111378070955,https://www.zhipin.com/job_detail/ce20bbb4d6bc1db80nB73N28F1JR.html,ce20bbb4d6bc1db80nB73N28F1JR
游戏测试【27届校招】,多益网络,1000-9999人,互联网,本科,在校/应届,[],[],7500.0,7-8K·14薪,浙江,杭州,临平区,塘栖,120.22144128920995,30.46946212087367,https://www.zhipin.com/job_detail/889ab146c101e1cb0nF-2N-0FlFR.html,889ab146c101e1cb0nF-2N-0FlFR
游戏测试,飓风网络,100-499人,互联网,本科,3-5年,[],"['交通补助', '节日福利', '员工旅游', '零食下午茶', '带薪年假', '定期体检', '五险一金', '年终奖']",12500.0,10-15K,浙江,杭州,拱墅区,石桥,120.183503,30.321132,https://www.zhipin.com/job_detail/b2c4f632375d4e7d0nJ709-5F1NS.html,b2c4f632375d4e7d0nJ709-5F1NS
游戏测试,正麒传媒,100-499人,文化艺术/娱乐,本科,1-3年,['计算机相关专业'],"['带薪年假', '工龄奖', '底薪加提成', '绩效奖金', '保底工资', '五险一金', '年终奖', '全勤奖']",12000.0,10-14K,浙江,杭州,拱墅区,拱宸桥,120.15348878665176,30.31198543565518,https://www.zhipin.com/job_detail/7d9d9fd49bd4fb0d0nF53ty6FVVQ.html,7d9d9fd49bd4fb0d0nF53ty6FVVQ
