岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
资深游戏运营负责人（RTS方向）,冷湖光棱,100-499人,互联网,本科,5-10年,"['手游', '端游', 'RTS游戏']","['零食下午茶', '团建聚餐', '生日福利', '定期体检', '绩效奖金', '员工旅游', '节日福利', '交通补助', '五险一金', '带薪年假', '年终奖', '补充医疗保险']",25000.0,20-30K·15薪,湖北,武汉,江夏区,金融港,114.42585576295328,30.45803862179058,https://www.zhipin.com/job_detail/ec37470f980d79c90nJ60t25FlJR.html,ec37470f980d79c90nJ60t25FlJR
海外IAA游戏发行负责人,汇聚畅想|Shootmedia,100-499人,互联网,本科,5-10年,['2年海外游戏发行经验'],"['法定节假日三薪', '全勤奖', '零食下午茶', '带薪年假', '五险一金', '团建聚餐', '节假日加班费', '底薪加提成', '绩效奖金', '节日福利']",25000.0,20-30K,湖北,武汉,江夏区,流芳,114.419972,30.471908,https://www.zhipin.com/job_detail/ad500081b3b185d403x809i6FFRQ.html,ad500081b3b185d403x809i6FFRQ
游戏开发工程师,幻彩灵犀,0-20人,人工智能,本科,3-5年,"['Java', 'Unity3D', 'Lua', '手游开发经验', '端游开发经验']","['五险一金', '股票期权', '定期体检', '绩效奖金', '带薪年假', '员工旅游', '团建聚餐', '年终奖', '餐补']",17500.0,15-20K·14薪,湖北,武汉,洪山区,光谷东,114.50151464222952,30.485685261309882,https://www.zhipin.com/job_detail/a73e77132985edf803Z62tu0EVpT.html,a73e77132985edf803Z62tu0EVpT
游戏高级cocos开发工程师,三七互娱,1000-9999人,互联网,本科,5-10年,"['Cocos Creator', 'Cocos2d-x']","['绩效奖金', '五险一金', '节日福利', '生日福利', '定期体检', '团建聚餐', '全勤奖', '带薪年假', '股票期权', '交通补助', '补充医疗保险', '餐补', '年终奖', '零食下午茶', '员工旅游']",23000.0,16-30K·14薪,湖北,武汉,江夏区,流芳,114.440651,30.488488,https://www.zhipin.com/job_detail/b9d00f1ed0c307020nB-2d2-EVVT.html,b9d00f1ed0c307020nB-2d2-EVVT
消除游戏主策划（头部游戏公司）,指色网络,100-499人,互联网,本科,3-5年,"['模拟经营', '休闲益智']","['全勤奖', '定期体检', '带薪年假', '节假日加班费', '团建聚餐', '停车费补贴', '加班补助', '餐补', '底薪加提成', '五险一金', '员工旅游', '法定节假日三薪', '绩效奖金', '零食下午茶', '保底工资', '年终奖', '带薪生日假', '节日福利', '免息贷款']",15500.0,11-20K,湖北,武汉,洪山区,关山,114.41509043470023,30.481339100790365,https://www.zhipin.com/job_detail/c6ffc41cb15ee6580nF83du8F1FV.html,c6ffc41cb15ee6580nF83du8F1FV
游戏策划（休闲游戏）,某大型互联网公司,100-499人,互联网,本科,3-5年,"['怪物数值设计', '经济系统搭建', '职业系统设计', '装备系统设计', '第三人称', '模拟经营', '休闲益智', '动作冒险', '体育/竞技', 'SLG游戏', 'Unity']","['股票期权', '年终奖', '员工旅游', '加班补助', '团建聚餐', '带薪年假', '交通补助', '生日福利', '全勤奖', '节日福利', '五险一金', '定期体检', '零食下午茶']",22500.0,15-30K,湖北,武汉,,,114.411176,30.480438,https://www.zhipin.com/job_detail/cdcab5c3b696b57f0nF93NS1FVRR.html,cdcab5c3b696b57f0nF93NS1FVRR
资深游戏策划（解谜类）,亿趣,100-499人,互联网,本科,经验不限,[],"['团建经费', '团建聚餐', '股票期权', '绩效奖金', '五险一金', '法定节假日三薪', '节日福利', '包吃', '生日福利', '零食下午茶', '加班补助', '员工旅游', '保底工资', '年终奖', '节假日加班费', '带薪年假', '定期体检']",16000.0,12-20K·14薪,湖北,武汉,江夏区,流芳,114.42345818736996,30.477313186007503,https://www.zhipin.com/job_detail/e3aab405f7fca1a303J639-6EFdZ.html,e3aab405f7fca1a303J639-6EFdZ
测试工程师（六险一金！急招！高薪）,某大型互联网公司,10000人以上,计算机软件,本科,经验不限,"['功能测试', '性能测试', '自动化测试', 'Python', 'Java', '测试工作经验']","['免费班车', '节日福利', '交通补助', '团建聚餐', '年终奖', '意外险', '企业年金', '法定节假日三薪', '节假日加班费', '绩效奖金', '夜班补助', '定期体检', '补充医疗保险', '员工旅游', '加班补助', '带薪年假', '零食下午茶', '保底工资', '股票期权', '五险一金']",26500.0,18-35K·16薪,湖北,武汉,,,114.538422,30.495964,https://www.zhipin.com/job_detail/9d332a6c0b9b83441X1z09S1EldY.html,9d332a6c0b9b83441X1z09S1EldY
游戏策划专员,自家店,20-99人,互联网,本科,1-3年,"['战斗系统设计', '技能系统设计', '休闲益智', '模拟经营', '卡牌/战棋']","['生日福利', '全勤奖', '五险一金', '有无线网', '绩效奖金', '餐补', '员工旅游', '交通补助', '加班补助', '团建聚餐']",15500.0,13-18K,湖北,武汉,江夏区,流芳,114.421426,30.472087,https://www.zhipin.com/job_detail/57c70e2293fb53571HB_29W7E1JZ.html,57c70e2293fb53571HB_29W7E1JZ
高级游戏系统策划,武汉游音科技有限公司,100-499人,互联网,本科,1-3年,['卡牌/战棋'],"['员工旅游', '生日福利', '餐补', '节日福利', '五险一金', '年终奖', '绩效奖金', '定期体检', '意外险', '全勤奖', '零食下午茶', '保底工资', '补充医疗保险', '带薪年假', '团建聚餐']",16500.0,13-20K,湖北,武汉,江夏区,光谷,114.397751,30.466392,https://www.zhipin.com/job_detail/8351cb78408ee7d71HRy2dm8GVJW.html,8351cb78408ee7d71HRy2dm8GVJW
高级服务端开发工程师（Go/C++ 游戏方向）,镜像科技,100-499人,游戏,本科,3-5年,[],"['零食下午茶', '五险一金', '加班补助', '股票期权', '员工旅游', '双休', '年终奖', '交通补助', '带薪年假', '定期体检', '节日福利']",20000.0,15-25K·13薪,湖北,武汉,江夏区,流芳,114.424143,30.464087,https://www.zhipin.com/job_detail/11d4a39a72a1d4300nB-3NW9F1JX.html,11d4a39a72a1d4300nB-3NW9F1JX
资深游戏策划,朝辉互娱,0-20人,游戏,本科,3-5年,[],"['带薪年假', '绩效奖金', '生日福利', '员工旅游', '节日福利', '零食下午茶', '五险一金']",16000.0,13-19K,湖北,武汉,硚口区,汉正街,114.273801,30.577836,https://www.zhipin.com/job_detail/aec8d3539b6b67340nZy392_E1pQ.html,aec8d3539b6b67340nZy392_E1pQ
unity游戏开发工程师（base北京）,乐信圣文,500-999人,游戏,本科,3-5年,[],"['零食下午茶', '带薪年假', '定期体检', '五险一金', '补充医疗保险', '员工旅游', '节日福利', '生日福利', '年终奖', '团建聚餐']",27500.0,20-35K·16薪,湖北,武汉,洪山区,珞珈山,114.33490320908554,30.50280419179861,https://www.zhipin.com/job_detail/0207df213c0f4bfb03143du8GVpZ.html,0207df213c0f4bfb03143du8GVpZ
游戏主策划,图形起源,20-99人,游戏,本科,3-5年,"['游戏数值策划', '数据产品', '海外产品']","['底薪加提成', '定期体检', '餐补', '带薪年假', '员工旅游', '五险一金', '团建聚餐', '补充医疗保险', '包吃', '年终奖', '绩效奖金', '生日福利', '股票期权', '节日福利', '零食下午茶', '有无线网']",22500.0,20-25K,湖北,武汉,江汉区,常青,114.247262,30.599104,https://www.zhipin.com/job_detail/8fa81a66e9f705170nR539q_GFdW.html,8fa81a66e9f705170nR539q_GFdW
