岗位名称,公司,规模,公司领域,学历要求,经验要求,技能需求,福利待遇,薪资,薪资原文,省,市,区,商圈,经度,纬度,岗位链接,jobId
游戏数值策划,游龙,100-499人,游戏,大专,经验不限,[],"['带薪年假', '餐补', '五险一金', '年终奖', '定期体检', '员工旅游', '全勤奖', '节日福利', '零食下午茶']",16500.0,11-22K,广东,广州,番禺区,长隆,113.331203,22.993907,https://www.zhipin.com/job_detail/3ee93c0bef7fbad00nFz2d26GVRX.html,3ee93c0bef7fbad00nFz2d26GVRX
AI游戏策划,INSDAILY,100-499人,互联网,本科,1-3年,[],['五险一金'],32500.0,25-40K,广东,广州,海珠区,琶洲,113.369662,23.097518,https://www.zhipin.com/job_detail/58daf62be4e5fbfd0nF62964GVpQ.html,58daf62be4e5fbfd0nF62964GVpQ
高级游戏系统策划,益心游戏,100-499人,游戏,本科,5-10年,"['SLG游戏', '卡牌/战棋', '模拟经营']","['生日福利', '五险一金', '团建聚餐', '零食下午茶', '年终奖', '保底工资', '带薪年假', '员工旅游', '节假日加班费', '定期体检', '包吃', '节日福利', '绩效奖金', '全勤奖']",25000.0,20-30K·13薪,广东,广州,天河区,棠下,113.373672,23.125832,https://www.zhipin.com/job_detail/26a4f96da6b29ec60nF83tu6EVVY.html,26a4f96da6b29ec60nF83tu6EVVY
测试工程师,ucardstore尤卡城,0-20人,互联网,本科,经验不限,[],"['零食下午茶', '交通补助', '餐补', '带薪年假', '年终奖', '定期体检', '五险一金', '全勤奖', '节日福利', '加班补助']",2500.0,2-3K,广东,广州,番禺区,大石,113.372254,23.041061,https://www.zhipin.com/job_detail/ee64f1f4b155ddca0nV53dy-FlVQ.html,ee64f1f4b155ddca0nV53dy-FlVQ
Java游戏服务器开发工程师,百奥游戏,1000-9999人,游戏,本科,5-10年,"['Java', 'Spring', 'MySQL', '游戏后端经验', 'TCP']","['补充医疗保险', '带薪年假', '免费班车', '通讯补贴', '团建聚餐', '五险一金', '交通补助', '法定节假日三薪', '有无线网', '包吃', '加班补助', '定期体检', '股票期权', '年终奖', '零食下午茶', '餐补', '节日福利', '全勤奖', '生日福利']",21500.0,15-28K·13薪,广东,广州,天河区,黄村,113.399449,23.14,https://www.zhipin.com/job_detail/9bdf9fb7ea49ffb10nF93Nm-EltW.html,9bdf9fb7ea49ffb10nF93Nm-EltW
游戏制作人,瞬马科技,100-499人,互联网,本科,5-10年,['海外市场'],"['绩效奖金', '带薪年假', '加班补助', '五险一金', '零食下午茶', '法定节假日三薪', '节日福利', '餐补', '年终奖', '交通补助']",35000.0,30-40K,广东,广州,海珠区,官洲,113.37561,23.067419,https://www.zhipin.com/job_detail/d605ef4d60c4eaf20nB-29-9ElRW.html,d605ef4d60c4eaf20nB-29-9ElRW
海外游戏投放,广州沃辉科技有限公司,0-20人,游戏,本科,3-5年,"['海外广告投放经验', '媒介代理/广告商经验', '企业品牌方经验', '游戏广告投放经验', '海外广告投放', '游戏广告投放', '企业品牌方']","['保底工资', '生日福利', '五险一金', '节日福利', '零食下午茶', '年终奖', '带薪年假', '团建聚餐', '绩效奖金', '全勤奖']",18000.0,13-23K·13薪,广东,广州,海珠区,琶洲,113.383331,23.103517,https://www.zhipin.com/job_detail/1fa088bab73019ec03152dS-FVFS.html,1fa088bab73019ec03152dS-FVFS
游戏主策,杭州掌玩科技有限公司,1000-9999人,互联网,本科,3-5年,"['经济系统搭建', '职业系统设计', '装备系统设计', '模拟经营', 'Unity']","['有无线网', '生日福利', '节日福利', '带薪年假', '零食下午茶', '团建聚餐', '员工旅游', '餐补', '绩效奖金', '节假日加班费', '加班补助', '五险一金', '定期体检', '保底工资', '底薪加提成']",30000.0,20-40K,广东,广州,,,113.375549,23.116751,https://www.zhipin.com/job_detail/a5b1b0e25b04bdac0nJ73tS7EVNR.html,a5b1b0e25b04bdac0nJ73tS7EVNR
高级游戏服务器工程师（Golang，base长沙）,超级蚂蚁,100-499人,游戏,本科,5-10年,"['Golang', 'Golang服务端开发经验']","['五险一金', '包吃', '零食下午茶', '绩效奖金', '带薪年假', '团建聚餐', '节日福利', '定期体检']",20000.0,15-25K,广东,广州,天河区,棠下,113.37571331363753,23.11654942160162,https://www.zhipin.com/job_detail/bdecda128d9f8af80nBy39u1E1RW.html,bdecda128d9f8af80nBy39u1E1RW
游戏策划,上海某大型游戏公司,1000-9999人,游戏,本科,3-5年,[],"['餐补', '年终奖', '六险一金', '零食下午茶', '带薪年假', '生日福利', '团建聚餐', '项目奖金', '包吃', '股票期权', '节日福利', '定期体检', '五险一金', '员工旅游', '补充医疗保险']",31500.0,23-40K·15薪,广东,广州,,,113.40534366487563,23.0927173011172,https://www.zhipin.com/job_detail/a036186b96d098e60nVz2dW4F1NZ.html,a036186b96d098e60nVz2dW4F1NZ
软件测试实习生,道乐科技,100-499人,互联网,本科,,"['功能测试', '性能测试', '计算机相关专业', '测试工作经验']","['零食下午茶', '定期体检', '交通补助', '餐补', '股票期权', '节日福利', '加班补助', '员工旅游', '绩效奖金', '年终奖', '带薪年假', '补充医疗保险', '五险一金']",,100-180元/天,广东,广州,天河区,车陂,113.375713,23.116549,https://www.zhipin.com/job_detail/b6396612bd8ff5561Xxz0ty0GVZZ.html,b6396612bd8ff5561Xxz0ty0GVZZ
